shipment_id,product,origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,cargo_kg,invoice_ngn,distance_km,transit_hrs,delay_hrs,total_hrs,shelf_hrs,time_ratio,has_cold_chain,avg_temp,max_temp,max_temp_allowed,temp_exceedance,avg_humidity,road_quality,vibration_score,borrower_history,prior_defaults,spoilage_prob,spoiled,default_prob,defaulted,financing_rate
XB-20240001,Strawberries,Onitsha,Abuja,6.14,6.79,9.07,7.4,3942.5,3215107.0,525.7,10.87,0.16,11.03,36,0.306,0,32.5,34.9,8,26.9,81.7,poor,1.002,poor,2,0.5537,1,0.5639,1,6.51
XB-20240002,Tomatoes,Ibadan,Zaria,7.38,3.93,11.08,7.71,423.0,151221.0,930.8,23.2,0.1,23.3,72,0.324,0,39.5,46.3,25,21.3,66.3,good,0.0,good,0,0.4561,0,0.3277,0,4.62
XB-20240003,Mangoes,Zaria,Abuja,11.08,7.71,9.07,7.4,1198.1,242869.0,299.5,8.33,2.77,11.1,96,0.116,1,23.6,29.9,20,9.9,67.1,fair,1.021,poor,3,0.3867,0,0.7185,1,7.75
XB-20240004,Tomatoes,Kano,Enugu,12.0,8.52,6.44,7.5,1153.8,363904.0,1002.0,16.85,1.84,18.69,72,0.26,0,35.1,37.8,25,12.8,86.9,fair,0.831,excellent,0,0.5684,1,0.355,0,4.84
XB-20240005,Peppers,Ibadan,Kano,7.38,3.93,12.0,8.52,3623.6,686263.0,972.8,18.77,2.21,20.98,96,0.219,0,30.5,35.1,22,13.1,55.9,good,0.0,fair,0,0.5747,1,0.4885,0,5.91
XB-20240006,Mangoes,Abuja,Zaria,9.07,7.4,11.08,7.71,4426.2,907266.0,297.5,6.78,0.17,6.95,96,0.072,0,33.1,37.0,20,17.0,59.5,fair,1.407,good,0,0.4577,1,0.2479,0,3.98
XB-20240007,Leafy Greens,Jos,Port Harcourt,9.92,8.89,4.82,7.04,1820.6,554910.0,890.1,19.91,1.1,21.01,48,0.438,0,28.6,36.4,10,26.4,90.6,fair,0.997,good,0,0.6858,1,0.417,1,5.34
XB-20240008,Mangoes,Port Harcourt,Kano,4.82,7.04,12.0,8.52,895.5,178721.0,1184.5,18.34,0.42,18.76,96,0.195,0,38.0,42.2,20,22.2,78.4,fair,1.036,excellent,0,0.4598,0,0.1705,0,3.36
XB-20240009,Strawberries,Abuja,Port Harcourt,9.07,7.4,4.82,7.04,4085.6,3169557.0,572.2,15.1,4.23,19.34,36,0.537,1,11.0,17.1,8,9.1,82.2,good,0.0,fair,0,0.4494,1,0.4255,0,5.4
XB-20240010,Strawberries,Kano,Kaduna,12.0,8.52,10.52,7.44,1105.8,845512.0,315.7,5.64,2.81,8.45,36,0.235,0,33.2,40.5,8,32.5,86.5,poor,2.571,fair,1,0.5959,1,0.499,0,5.99
